eval_count,similarity
100,0.11131500121433194
200,0.11244071307854529
300,0.11363427668912027
400,0.11537923639922214
500,0.11843351931780968
600,0.1186879585670995
700,0.12119639202012188
800,0.12189236042707789
900,0.12424574050460024
1000,0.12587476605092687
1100,0.12777622897499072
1200,0.1285193531971333
1300,0.12412983730213172
1400,0.12523782536532854
1500,0.12739738719539284
1600,0.12760231385527968
1700,0.12813079177062667
1800,0.13036607848300208
1900,0.12969251084699895
2000,0.13628704529684837
2100,0.1431397043514397
2200,0.15717479106865867
2300,0.16674976082357684
2400,0.17726940652351206
2500,0.1782755888496752
2600,0.18886497870976565
2700,0.20046004568058734
2800,0.20300862889201948
2900,0.2107279693486541
3000,0.2105845316089454
3100,0.21948883489118126
3200,0.2251801441152849
3300,0.23240745957518255
3400,0.23107949134501696
3500,0.24087122391777938
3600,0.2407774924118557
3700,0.23784812316207776
3800,0.25541795665634587
3900,0.26631230093828057
4000,0.2763819095477399
4100,0.2969904963041198
4200,0.30940594059406346
4300,0.32313236023710057
4400,0.35942492012780014
4500,0.3815675875678403
4600,0.44599416153097904
4700,0.46173650236931346
4800,0.4143230212937035
4900,0.39967057455673594
5000,0.41574279379157847
