eval_count,similarity
100,0.111244954648003
300,0.11234781977138736
500,0.1141215636729028
700,0.11761519160582565
900,0.11903960291272891
1100,0.12403403794688583
1300,0.1303784398836752
1500,0.13650804156461946
1700,0.14417531718568835
1900,0.14517321070351047
2100,0.14821779332150842
2300,0.1522758315183222
2500,0.15649897564306323
2700,0.15959710597247606
2900,0.15664755250066084
3100,0.1579955314395114
3300,0.15828451561740375
3500,0.15606673981309535
3700,0.1550382740951354
3900,0.15941412892255152
4100,0.15820357444197036
4300,0.15410575079076044
4500,0.15678449258836535
4700,0.16043924700513124
4900,0.16380531324870362
5100,0.16323273360417626
5300,0.16542348411934404
5500,0.16398330351818677
5700,0.16205492188625362
5900,0.16098817468680504
6100,0.1617097457073413
6300,0.16034154368416026
6500,0.16091490689690843
6700,0.1610824742268032
6900,0.1621610996815713
7100,0.1651100733822525
7300,0.16562274150806963
7500,0.16605834518665508
7700,0.16406156783199766
7900,0.16140602582496347
8100,0.15746278152436252
8300,0.1572826639552589
8500,0.15835135446390528
8700,0.16004293677172174
8900,0.1590392103944137
9100,0.16322627448393878
9300,0.16310579799923308
9500,0.16690043967307608
9700,0.16731338642294058
9900,0.17717550038656302
10000,0.1793712223333507
