eval_count,score
100,4.768337445825401
200,4.828989296188816
500,5.3919138295525055
600,13.438384253264447
700,16.439499570264104
800,16.82310488674098
900,21.695955469514075
1100,24.524051396333938
1200,25.16156308825506
1300,29.58174895670799
1600,36.53912466927004
1900,39.572318035546196
2000,42.569320352816575
2500,45.60256786756885
3300,50.94009525964205
4200,55.14800473121838
4600,55.93609312835878
4700,56.55647958988624
5100,57.04269020199124
5400,58.537707338602715
5500,59.99367730933978
6300,63.573652734684615
6400,64.42076025639804
6600,64.46329540582055
10000,64.46329540582055
