eval_count,score
100,4.343283281968208
200,5.30878150730406
300,13.363818593016962
1400,17.035221245185866
1700,19.628203681546896
1800,20.296459456616255
1900,21.92599028029031
2000,21.97036336418988
2100,45.130191107424864
2500,45.45284694842485
2600,45.90906907122776
2700,46.56066654755446
2800,46.623184677832306
2900,46.72257620226162
3100,46.74465570461095
3200,51.11011514725252
3400,61.55634006512021
3500,63.83705772830632
3800,64.77663296257711
3900,66.97947914778234
4300,67.6629087285363
5100,71.94859195558783
5600,74.51464668988993
6900,77.26604400459458
7300,80.53971758123362
7400,81.37246487368023
8300,82.54955108977657
8500,84.14869244560006
9300,86.78833262548685
9700,87.82433017206422
10000,87.82433017206422
