eval_count,score
100,5.275241674781671
200,7.316627780522051
800,7.711090744733543
900,8.715266996766882
2000,9.372798751169983
2100,11.236691461966053
2400,11.382263614556681
3000,12.08054740686301
3200,15.603900327768178
4400,32.994945444136306
5100,38.610379843723
5200,47.278800930792066
6000,53.59103300925595
6200,53.71554716276313
6300,61.94226481315454
6700,62.11379919363773
7000,67.64881362242375
7300,68.30123801390644
7400,76.56786254021353
9400,79.37830283083687
9700,81.06951993591566
10000,81.06951993591566
