eval_count,score
100,3.6812661413543553
200,4.220878440863718
600,9.662144500159263
1300,14.908898065133629
1600,29.067295896926073
2100,29.517787164954456
2600,30.054955446377395
3500,32.98266965861481
4100,64.53333087241529
4300,71.17803526558932
4400,87.25301862804606
4500,91.99164625583165
4600,100.39665559185379
4700,128.66287912537462
4800,158.79735825331792
4900,202.18633161657326
5100,272.3054527514923
5300,324.4742201710033
5400,334.72371626399007
5700,343.9412002715403
6000,344.73271555701655
6100,345.25185368818575
6200,347.2561927635841
6300,347.8663604872067
6500,351.22647010589617
10000,351.22647010589617
