eval_count,LS_avg_improvement,LS_successful_rate
700,4.993990246835882,0.48
800,0.1614806439935903,0.13
900,0.61573563926414,0.16
1000,0.11335062125068716,0.08
1100,0.38624530765687437,0.1
1700,4.507056697254566,0.49
1800,0.11572742650728028,0.07
1900,0.2693638069607714,0.16
2000,0.10664294899446719,0.08
2100,0.03611889968166007,0.05
2700,3.4315541274905312,0.46
2800,0.09091746783075486,0.05
2900,0.10454071545301805,0.07
3000,0.18939044197641602,0.09
3100,0.0411112492450313,0.05
3700,2.874743257102231,0.53
3800,0.16416798771736463,0.09
3900,0.6217735826023918,0.15
4000,0.19060973902343123,0.06
4100,0.3412621122195136,0.1
4700,6.3770416129937715,0.41
4800,0.1531389025078154,0.03
4900,0.16300221271991044,0.07
5000,0.3285384886921446,0.1
5100,0.08762524086439999,0.04
5700,7.3638477301426635,0.54
5800,0.21273761406690503,0.05
5900,0.521061322980308,0.1
6000,0.210098229607569,0.05
6100,0.2966647334554517,0.07
6700,5.143953193259352,0.58
6800,0.42157308786629016,0.1
6900,0.44451696547365094,0.08
7000,0.06286778760813917,0.02
7100,0.11519240163939092,0.05
7700,4.803978714610234,0.45
7800,0.10112863412394255,0.07
7900,0.4835934436453526,0.06
8000,0.3076712008303479,0.04
8100,0.5247565046850942,0.07
8700,7.74623842177509,0.62
8800,0.20289272338499068,0.08
8900,0.3580973945701229,0.07
9000,0.43034734218081766,0.07
9100,0.4810480640270693,0.07
9700,5.505883427366895,0.49
9800,0.6976110259974163,0.13
9900,0.15240329332940894,0.04
10000,0.47493522069611527,0.09
10000,0.0,0.0
