eval_count,score
100,3.7475905181098503
400,4.176914165106791
700,10.474253615769689
1200,14.128033600891458
3400,23.869049751882184
3500,23.88318812686435
3900,24.322618032431524
4100,24.328395352349563
4500,24.50279392726162
4600,26.100813165408777
5000,26.159425726357824
5200,31.36805323657597
5500,33.02296473576723
5700,33.03008205880497
5800,34.00821984605802
5900,34.04315311139034
6100,34.171810818387954
6300,34.44477403820328
6400,34.45604966441219
6500,35.105090181384945
10000,35.105090181384945
