eval_count,similarity
100,0.11142123981450955
200,0.11278401064497441
300,0.1150114314392328
400,0.11779207675758732
500,0.11869706590443388
600,0.12031851592578262
700,0.12294593359427972
800,0.1245546228636864
900,0.1272375821260629
1000,0.12754576187333758
1100,0.1290985530529724
1200,0.13246060969342882
1300,0.13336422713408577
1400,0.13732757759700706
1500,0.14424421857515055
1600,0.14714975385858703
1700,0.14872010575651404
1800,0.15403861234549185
1900,0.15943055913424128
2000,0.1681865749738383
2100,0.17558670790885125
2200,0.18290519968074828
2300,0.19176532572986724
2400,0.20083743122839187
2500,0.1992881989178017
2600,0.20907247845919616
2700,0.21719290239921085
2800,0.23301135400779305
2900,0.22729359904490595
3000,0.2327090150062039
3100,0.27451197870452915
3200,0.2934272300469554
3300,0.3240631628564709
3400,0.32989443378118555
3500,0.33620408606824376
3600,0.35750397226635566
3700,0.38650134299456307
3800,0.3707754074784285
3900,0.393744630755038
4000,0.47502974933783393
4100,0.4957734065141555
4200,0.5308424845573052
4300,0.5842500354090885
4400,0.5748861841494001
4500,0.5670362903225744
4600,0.5691225165562847
4700,0.5775154004106714
4800,0.5602843301489482
4900,0.5456349206349133
5000,0.5311158798283202
