eval_count,score
100,2.9079254505924212
300,4.501923132645143
400,5.145359098630915
600,8.730971220847694
700,18.330147477424397
1400,19.788413479056572
1700,20.053226646036727
1900,20.195438642771858
2000,20.61951127681519
2200,27.196282934247943
2500,27.848093092537905
2600,33.99273484830377
2700,34.0978425923937
2900,36.44972024394732
3000,37.32312256604876
3100,37.416726306054365
3200,43.36967739691411
3300,44.79812803525197
4900,49.24354162264364
5000,49.24354162264364
