eval_count,similarity
100,0.11126095751852995
200,0.11127696499382683
300,0.11124795483556427
400,0.11127096165084285
500,0.1112989827947376
600,0.11127596439167783
700,0.11124695475506335
800,0.11125295550779438
900,0.11126595935981382
1000,0.1112749638075235
1100,0.11128997445949944
1200,0.11132201072288243
1300,0.11131800518133368
1400,0.11132902111426632
1500,0.1113380357721102
1600,0.11133903749087697
1700,0.11134504818202555
1800,0.11134504818202559
1900,0.11132801957572555
2000,0.11132401360175692
2100,0.11325883418905332
2200,0.11745332713241698
2300,0.1215165262475553
2400,0.12473540973690862
2500,0.12916323101168767
2600,0.13129834166214513
2700,0.13168535978035226
2800,0.1345371920593052
2900,0.13637565846023902
3000,0.13882033563671306
3100,0.14052758883046015
3200,0.14515277696322074
3300,0.15080980294185223
3400,0.15878413056866872
3500,0.1565148104115519
3600,0.15788466445521676
3700,0.1588452750750894
3800,0.15871692595775055
3900,0.16449992024246418
4000,0.16987892265876178
4100,0.1784632690144513
4200,0.17521627706118004
4300,0.1792802712021559
4400,0.19214943403257553
4500,0.19895818260743406
4600,0.19999999999999538
4700,0.1957419211970663
4800,0.20383791797067521
4900,0.21019465298773113
5000,0.2081371097954737
5100,0.21304984075061725
5200,0.22286856607715075
5300,0.2353780313837332
5400,0.24209640816964825
5500,0.25140686264550766
5600,0.26174965100046454
5700,0.25931436234860294
5800,0.25374205454172455
5900,0.24860879522670729
6000,0.24866374633283392
6100,0.24877372145384036
6200,0.25249433800575216
6300,0.2563066981483776
6400,0.2588370633758621
6500,0.25607333526465875
6600,0.2633931422003703
6700,0.2882666728784777
6800,0.3036586263587971
6900,0.3267326732673329
7000,0.33049353701528206
7100,0.34173754556500974
7200,0.3793452271473277
7300,0.3697340902300644
7400,0.4482396406838614
7500,0.46889208851167047
7600,0.4682710863889251
7700,0.4421221864951837
7800,0.4701390471848677
7900,0.5194996011922234
8000,0.5139973417511184
8100,0.49965680138894425
8200,0.44634806131650057
8300,0.45891122153823705
8400,0.48345509239363826
8500,0.5372026393471028
8600,0.5479543039319813
8700,0.5161626694473372
8800,0.47776233495482545
8900,0.5119771627156426
9000,0.5318006016329959
9100,0.5346265174752558
9200,0.5613772455089722
9300,0.6178232651023378
9400,0.6724812520378115
9500,0.7366509911304153
9600,0.7518226002430061
9700,0.7687767907063395
9800,0.8123810149018579
9900,0.802893661195097
10000,0.8033627629187248
