eval_count,score
20,13.215295351411452
220,16.02544677961818
320,16.130819108405195
420,30.056041249855934
520,30.24164063348923
620,46.76404593702124
1120,49.16693868943253
1420,51.38029564513769
1620,51.528038497993656
1920,54.27273149666381
2120,55.50766694272466
3220,55.84765900029168
3420,56.82693051833022
4320,61.589734586273245
8620,70.37312222053991
10000,70.37312222053991
