eval_count,similarity
100,0.11111609948817917
250,0.11221029342423684
400,0.11350919997797301
550,0.11554406080183911
700,0.11731859464172682
850,0.1212236981309382
1000,0.12554657143725365
1150,0.12414851673871824
1300,0.12548673643220862
1450,0.12581205965777825
1600,0.12530503549042338
1750,0.12606069249339152
1900,0.1276312668241092
2050,0.12487638499262083
2200,0.12602859703436953
2350,0.12971290210998487
2500,0.1348626852659012
2650,0.13843675537804873
2800,0.14419715683989132
2950,0.14301728920117554
3100,0.14775060891159367
3250,0.14813263107492763
3400,0.15294015868699756
3550,0.1506922711608425
3700,0.15577990659499405
3850,0.1612419867618696
4000,0.16598929620538502
4150,0.1716961498439141
4300,0.17142500935045737
4450,0.16918680958109872
4600,0.16771474263410643
4750,0.1641007280105021
4900,0.16924697065018343
5050,0.17057201929703883
5200,0.1759136850185523
5350,0.17522123893805355
5500,0.17365496337459116
5650,0.17149390243902632
5800,0.17475357980060496
5950,0.16964836520666327
6100,0.17369396176627397
6250,0.17085697717765125
6400,0.17267843438219768
6550,0.17518651170033722
6700,0.17097973113005682
6850,0.17471163755982558
7000,0.17219307888182403
7150,0.1707014276846678
7300,0.16871395656382576
7450,0.1679081694956659
7600,0.16853703047966723
7750,0.17193947730398926
7900,0.17185590489945715
8050,0.1786513447573987
8200,0.17728464392647897
8350,0.17345537115945445
8500,0.1692307692307704
8650,0.16888433981576173
8800,0.17402615665870014
8950,0.1700306398648007
9100,0.17052266056689344
9250,0.16978103391504978
9400,0.16472984305738703
9550,0.16330812779603268
9700,0.16561387543160025
9850,0.1644540126779101
10000,0.1660850892497661
