eval_count,similarity
100,0.11119097892985753
250,0.11306016171027856
400,0.11418474399548346
550,0.11615791845008754
700,0.1173664393630308
850,0.11883156166276394
1000,0.11970284675132375
1150,0.12058817797352067
1300,0.12076941093803534
1450,0.12263646093469902
1600,0.12518334935004458
1750,0.1263902932254679
1900,0.12782506300870577
2050,0.132050707471657
2200,0.13459425948684497
2350,0.1383330725032884
2500,0.14151914368051832
2650,0.15221776673472534
2800,0.1607643940968594
2950,0.16640221600688593
3100,0.16970420043609072
3250,0.1694717957847752
3400,0.1778860666695417
3550,0.1807915382255405
3700,0.18942582926418497
3850,0.19189616672869128
4000,0.200577013469045
4150,0.20594108836744118
4300,0.21414851091075077
4450,0.20897362288492513
4600,0.20785044845308112
4750,0.20835087128545435
4900,0.2056775308723967
5050,0.20548286397448617
5200,0.20858968092098848
5350,0.20781554376300623
5500,0.21368997254406558
5650,0.2178275334002111
5800,0.21135420402724822
5950,0.2065494967703069
6100,0.2123807235532282
6250,0.21327381773058604
6400,0.21893742370361677
6550,0.21601382488478452
6700,0.22384415020619974
6850,0.2287472966228498
7000,0.22500409098346344
7150,0.2228806080363004
7300,0.23234200743493502
7450,0.22486916703008195
7600,0.23662925215594727
7750,0.2419449440838294
7900,0.2358580468094772
8050,0.23369780748965585
8200,0.23170252204684028
8350,0.22713506965474745
8500,0.23100184801477655
8650,0.2258005656418122
8800,0.22892502358620895
8950,0.23426407950780245
9100,0.2404780411970405
9250,0.23458381513846846
9400,0.2404780411970416
9550,0.24400583642242538
9700,0.23820064675083982
9850,0.23698724577731306
10000,0.2292813073203203
