eval_count,score
100,5.834093535812695
400,7.736769629999222
500,11.498786433109188
650,14.766833061398124
1100,15.287058153989319
1150,24.273304501949397
2950,25.270564001838586
3200,25.771196015559948
3350,26.53002471864781
3850,33.07724643552341
4250,33.09207969956694
4400,33.418673135445864
5000,33.771103109318936
5150,46.2692371483982
5300,46.38751076986445
5450,47.127784545328865
8000,47.371191261226635
8150,48.48182848371292
8450,48.70766893484744
9350,49.10324000370156
9800,49.60549344826781
10000,49.60549344826781
