eval_count,LS_avg_improvement,LS_successful_rate
120,3.5688388727549,0.48
220,0.6832267371803076,0.23
320,0.2561290872952279,0.2
420,0.1744110371851679,0.18
520,0.5591736911704912,0.21
620,0.19288388500956002,0.08
720,0.12441266631721955,0.09
820,0.34992281356513816,0.1
920,0.4778352628279888,0.16
1020,0.6594500525561848,0.11
1120,0.2379277222880152,0.08
1220,0.43030345398761793,0.08
1320,0.4053535313288967,0.07
1420,0.2740117873694996,0.07
1520,0.042996127919790544,0.03
1620,0.24785547024286156,0.08
1720,0.312280915363258,0.06
1820,0.46442022324049886,0.08
1920,0.2556244904416154,0.06
2020,0.301075225481836,0.07
2120,0.40434508379090955,0.05
2220,0.19421301599595128,0.07
2320,0.5493447540551241,0.11
2420,0.20375121154755177,0.06
2520,0.10145212908781545,0.02
2620,0.5385891833596793,0.06
2720,0.37239406481580273,0.11
2820,0.3070175826469045,0.04
2920,1.0386753154345987,0.17
3020,0.3511102516233872,0.05
3120,0.15468381828992941,0.05
3220,0.3646668319881005,0.08
3320,0.6694826161656836,0.2
3420,0.25319347136648146,0.06
3520,0.2148644453443306,0.04
3620,0.49417280713115813,0.13
3720,0.24596520801876617,0.08
3820,0.33240323290715246,0.04
3920,0.5912737525651588,0.13
4020,0.3375359552548757,0.09
4120,0.15867665950884066,0.05
4220,0.3345393778303765,0.08
4320,0.38891496235971795,0.06
4420,0.09765280030692064,0.03
4520,0.3184129764641392,0.05
4620,0.12503303216453193,0.03
4720,0.7405259719590649,0.12
4820,0.4608453187972606,0.07
4920,0.6223232089101348,0.07
5020,0.2910753854188471,0.04
5120,0.2083193062643656,0.08
5220,0.43868256284131746,0.08
5320,0.3286207709173259,0.03
5420,0.27701378719865216,0.06
5520,0.16214627261728862,0.06
5620,0.5359392461204581,0.11
5720,0.4486147058853392,0.08
5820,0.3130109472459363,0.05
5920,0.18671849340797603,0.03
6020,0.612970436775857,0.09
6120,0.6424314875951964,0.06
6220,0.21866987436075258,0.05
6320,0.28880625832090784,0.07
6420,0.1362094014863306,0.05
6520,0.34508224991329384,0.1
6620,0.19075614980754937,0.07
6720,0.21290523223304064,0.06
6820,0.8633609454740264,0.2
6920,0.16999184350115168,0.06
7020,0.3645429323252236,0.07
7120,0.21560000456094122,0.06
7220,0.16943330759808423,0.04
7320,0.9773591440380486,0.13
7420,0.18868530224907576,0.06
7520,0.21769749986718076,0.05
7620,0.3650423238310705,0.05
7720,0.5977190504684018,0.11
7820,0.4250141507476543,0.09
7920,0.03660675653777314,0.01
8020,0.30920608955582296,0.07
8120,0.48858011773480003,0.11
8220,0.2693760743268489,0.12
8320,0.24133008030189718,0.08
8420,0.38924819606739647,0.09
8520,0.40760904059210995,0.07
8620,0.1892586460039138,0.05
8720,0.2943878058581971,0.08
8820,0.5094065638056765,0.09
8920,0.13571942311257726,0.03
9020,0.44152182031776877,0.08
9120,0.09044990793922843,0.02
9220,0.7123907208990049,0.13
9320,0.2699545351276838,0.07
9420,0.42894036616244746,0.08
9520,0.33859903463683283,0.11
9620,0.16360062156298688,0.06
9720,0.48561428550548613,0.06
9820,0.27954873191405255,0.04
9920,0.5258543295659242,0.09
10000,0.5914118752866979,0.11
