eval_count,similarity
100,0.11119397620672197
300,0.11292913069663374
500,0.11476078751401328
700,0.11638843169526143
900,0.11879163706873755
1100,0.12232249646622598
1300,0.12755627937658476
1500,0.1353746184897006
1700,0.1426233475860534
1900,0.15244653592194135
2100,0.1615387627762488
2300,0.1677352020277314
2500,0.16926780560532964
2700,0.16978802222679565
2900,0.16918680958109827
3100,0.17405308091533928
3300,0.1796889747201184
3500,0.17701583487104408
3700,0.17569140780282883
3900,0.18472079172450565
4100,0.18210848515171954
4300,0.18697307587706918
4500,0.18264065175039815
4700,0.18520181385533907
4900,0.1913709116214273
5100,0.19263698630136375
5300,0.19282609034388593
5500,0.1889428362037327
5700,0.20440017838559996
5900,0.20643234857456555
6100,0.209121941327555
6300,0.2009907422445904
6500,0.20360650882705372
6700,0.20769695545633607
6900,0.2032954396109782
7100,0.2089030689759834
7300,0.2147430891769379
7500,0.21872072677140528
7700,0.21670606776988643
7900,0.21963296890528472
8100,0.22247191011234857
8300,0.2197031566239272
8500,0.2200469433479037
8700,0.20767604215613106
8900,0.20728296008441063
9100,0.2110262269363124
9300,0.20787838064840047
9500,0.2094617467840103
9700,0.2088678098838657
9900,0.2079762024805765
10000,0.20357301485465013
