eval_count,similarity
100,0.11116301213584347
600,0.1110562685093648
1100,0.11105826183722689
1600,0.11099052880819504
2100,0.11110512564978335
2600,0.11107620500851376
3100,0.1110592585279915
3600,0.11114104809374924
4100,0.11117899143808128
4600,0.11122095897181064
5100,0.11120396829674617
5600,0.11117799259710451
6100,0.11118997987347712
6600,0.1111889808350496
7100,0.11120996441279808
7600,0.11117499618185549
8100,0.11118598382747989
8600,0.11118198806869933
9100,0.11117199992811787
9600,0.11118298698146956
10000,0.11115202902975288
