eval_count,similarity
100,0.11132902111426636
250,0.11243764821324999
400,0.11393663741908006
550,0.11616118949056645
700,0.1186413053898972
850,0.12052827909965246
1000,0.1235782262654779
1150,0.12519981384430406
1300,0.12248594504709995
1450,0.1249041140134713
1600,0.1262124040020671
1750,0.12659199017951753
1900,0.12952418831507398
2050,0.13068823858654813
2200,0.1335729551194758
2350,0.13564914280702287
2500,0.13930947529577728
2650,0.14148354789288742
2800,0.153644637026182
2950,0.16626360338572924
3100,0.16701531817261578
3250,0.17785538740137155
3400,0.17462288512283683
3550,0.1805488685604245
3700,0.1834094142755514
3850,0.18659529553679055
4000,0.1874971591339526
4150,0.182320441988951
4300,0.18445371888507842
4450,0.1890120967741917
4600,0.20234805500596212
4750,0.20153738416689104
4900,0.19372867027771232
5050,0.19736212561002364
5200,0.20565360454680878
5350,0.21937988618836865
5500,0.22313781351989412
5650,0.22369039441812905
5800,0.22534416199285912
5950,0.23344211578728702
6100,0.24420807514701887
6250,0.2553283677553786
6400,0.28139709393547097
6550,0.2758643750418036
6700,0.310648659503973
6850,0.344813173953033
7000,0.35913285739161693
7150,0.4130783096334949
7300,0.47730165464573415
7450,0.4875694417083602
7600,0.5202858944713019
7750,0.5584134289968834
7900,0.5865762904678338
8050,0.5620401489690224
8200,0.48949804200782776
8350,0.5175225828036077
8500,0.5269320843091283
8650,0.5458515283842732
8800,0.5936675461741351
8950,0.5949233209941761
9100,0.5804953560371426
9250,0.6237084824353538
9400,0.6328628413623697
9550,0.645843118835125
9700,0.7222060110884071
9850,0.753241219794258
10000,0.7357312722948789
