eval_count,score
100,4.668572994490603
200,4.88317633665572
300,5.01448955008121
400,5.391242910733754
700,12.57715027194671
900,17.97760456653445
1000,22.371781553580337
1100,33.4600859623702
1500,45.61078704390764
1900,46.65431400776981
2000,53.784439146095735
2100,57.08151735753384
2700,57.39213755873047
2900,61.20795336037033
3000,66.06996135116626
3100,66.88682931538719
3300,67.95948035838917
3700,70.19645809947804
4000,73.43218987877032
4100,85.77767314219659
4500,85.81152479192862
4700,86.02019756182422
6600,86.06464802092161
7200,86.10212251358456
7400,86.10527053600407
8300,86.12587574538883
10000,86.12587574538883
