eval_count,similarity
100,0.11116500929742372
200,0.11202440547854613
300,0.11374708164051883
400,0.1155106269776689
500,0.11693723659590852
600,0.11865381849560093
700,0.12067166580529391
800,0.12233337946577381
900,0.12402533624645425
1000,0.12677354914714753
1100,0.12769711791473354
1200,0.12708861799470875
1300,0.12857410024103316
1400,0.13146711994049667
1500,0.13935810810809962
1600,0.14045422043650638
1700,0.14470637760470761
1800,0.14838663261267807
1900,0.15221963910106895
2000,0.15481715937096863
2100,0.15957858358693797
2200,0.15834324977927516
2300,0.1612840162652465
2400,0.1607017634989469
2500,0.16718454471764507
2600,0.17788095272319424
2700,0.1744308971738679
2800,0.17899502429993105
2900,0.18649687288071634
3000,0.19725516449884778
3100,0.19626968644430454
3200,0.20104298664586787
3300,0.200821135308814
3400,0.19824423689985732
3500,0.20203751775480816
3600,0.20154066642780066
3700,0.2110190300797988
3800,0.21006976862617913
3900,0.2103768933920349
4000,0.21197327852003586
4100,0.21627053477804495
4200,0.22659854976927812
4300,0.22856140221265225
4400,0.22772860271249373
4500,0.2372325741890942
4600,0.24160955895272973
4700,0.2505415747170605
4800,0.2550231839258079
4900,0.2571802651814279
5000,0.2687704971439726
