eval_count,similarity
100,0.1114804605156341
300,0.11249897728201146
500,0.11499433159253071
700,0.11812714776631009
900,0.12114300258437191
1100,0.12592600130249415
1300,0.12983810892760425
1500,0.13269781356894325
1700,0.13527990642455387
1900,0.1398668580534947
2100,0.15047056248631518
2300,0.1573246545214124
2500,0.16866106961783733
2700,0.18986467826567024
2900,0.20534647550775847
3100,0.2238805970149136
3300,0.2298775843813151
3500,0.23914429822017805
3700,0.23880280195286618
3900,0.2356559328166251
4100,0.24548213683520484
4300,0.2576943900712104
4500,0.26519372535572966
4700,0.28287654010560687
4900,0.28745644599303155
5100,0.29457272078076613
5300,0.29752602601399447
5500,0.29986914800814696
5700,0.29887694722859764
5900,0.3171369262704679
6100,0.3292449316234742
6300,0.3104694046513964
6500,0.2899212819791921
6700,0.3121846619576212
6900,0.30086795847414444
7100,0.3024563118660624
7300,0.31067985539265114
7500,0.3129108930919395
7700,0.29550121782320676
7900,0.27952835942264365
8100,0.290738652382295
8300,0.28402570576084435
8500,0.29060210407665155
8700,0.2757844535567853
8900,0.27860954139180566
9100,0.280943516164184
9300,0.2901592065464569
9500,0.30791241602389124
9700,0.31049277398634667
9900,0.3192395005675364
10000,0.3142378304258433
