eval_count,similarity
100,0.111209964412798
250,0.11240802979379175
400,0.11520201079872107
550,0.11722857440579176
700,0.11979670861566925
850,0.12305596436099134
1000,0.12775116653589216
1150,0.12937117766973924
1300,0.13233029641985253
1450,0.136251032204779
1600,0.1384506947707497
1750,0.13832843361910943
1900,0.14086350752978655
2050,0.14865221987314486
2200,0.15136874036743925
2350,0.15596445900812586
2500,0.1570391614426003
2650,0.161614710530095
2800,0.1663239385508641
2950,0.1620846376507865
3100,0.1616083788230996
3250,0.15901060070671305
3400,0.15799553143951128
3550,0.1581004944233619
3700,0.16460275867572666
3850,0.17144163364827836
4000,0.180817954674967
4150,0.1803515215110186
4300,0.18748579653056463
4450,0.18738075769964535
4600,0.19284111450476593
4750,0.20440693084025463
4900,0.22200893417770937
5050,0.2332353273775828
5200,0.230069904067817
5350,0.22162326730899587
5500,0.21422265307181673
5650,0.21779686372515608
5800,0.21456808960709345
5950,0.20593080724875643
6100,0.21440823327614944
6250,0.2085264133456849
6400,0.2094652922358114
6550,0.2033789669170128
6700,0.20322199231450724
6850,0.2047790041534893
7000,0.2027491971950893
7150,0.2004145950410468
7300,0.19391384740742412
7450,0.19793349434589314
7600,0.1993973768167239
7750,0.20273258957093512
7900,0.20147504151606094
8050,0.20387149917626907
8200,0.20242749415208688
8350,0.20455897910604878
8500,0.20545216077564873
8650,0.20375401333661805
8800,0.20690174048251128
8950,0.20942275473421673
9100,0.21613077876939976
9250,0.21564868868170353
9400,0.2205489217608184
9550,0.21757476660160505
9700,0.21925939050317902
9850,0.21753651976724955
10000,0.2185276095286774
