eval_count,score
100,4.656832409559595
200,4.770897351930613
300,5.021087590972606
400,6.031528950485028
500,9.90558818352731
600,12.424787425414445
1000,13.503819190242675
1100,15.056026558159049
1200,15.888798742687795
1300,18.415640911694368
1400,23.684546335643663
1500,25.92013815151387
2000,26.00910489968656
2100,27.745701473257
2200,28.496423038353562
2800,30.144432525412444
4100,30.26842446321642
4300,30.54092776286099
4700,34.314125437456575
5400,34.57868964058492
5800,35.9970920557896
6000,38.09151589363152
6800,41.22458928980051
10000,41.22458928980051
