eval_count,similarity
100,0.1113180051813335
300,0.11981642671106253
500,0.1299813036993339
700,0.13798755603130142
900,0.14909458922181149
1100,0.18553779723530386
1300,0.20314192849403687
1500,0.20947238349949318
1700,0.20628094214131393
1900,0.21307185041064006
2100,0.21047708138446392
2300,0.21480645721228317
2500,0.2265321812989552
2700,0.24163314718630893
2900,0.24823477493379661
3100,0.24048271439397467
3300,0.26225999237061437
3500,0.2748961503432043
3700,0.2627109648657228
3900,0.2655807365439057
4100,0.24964696388944266
4300,0.24150582541323531
4500,0.24903906139944135
4700,0.26069096271328496
4900,0.2829994511525802
5100,0.2730763289714657
5300,0.291121671214833
5500,0.287242932083011
5700,0.2769509656916499
5900,0.27319086935405307
6100,0.2415671117357604
6300,0.2380173872903407
6500,0.2362768496419921
6700,0.24490886421658029
6900,0.2536588365514623
7100,0.25567125325399237
7300,0.24567219884061833
7500,0.24450240056902056
7700,0.24360715762120386
7900,0.23050272877976646
8100,0.22826207252737735
8300,0.22469359963684546
8500,0.23974659511400245
8700,0.2255125284737909
8900,0.23037399705864722
9100,0.2334905660377268
9300,0.22477522477521172
9500,0.2074358415609149
9700,0.2037976351239981
9900,0.21003054989815814
10000,0.2232988686190525
