eval_count,score
100,3.1161170314638085
300,4.281282617945747
800,16.89780918544519
2400,25.940363982326392
4600,31.084412832568592
4700,31.10731366641124
4800,31.1536074820917
5100,31.167286602893185
5200,31.499064741847977
5300,31.510596466184083
5400,35.404890570588016
5500,39.325056609959674
6500,39.47295127641473
6700,39.475193965503536
7100,39.490128495335924
7300,39.52496273063544
7800,39.59756048519622
8000,39.646185134737415
8200,39.66538197587362
8400,44.181201920880774
8600,45.22483752857438
8700,45.267052847173915
9200,45.270184517326165
9400,45.335208859896056
9500,45.4359806266217
9600,47.86991000735251
10000,47.86991000735251
