eval_count,score
20,4.3706586203450115
120,4.864704864154284
220,4.869587112042113
320,9.641616283643907
820,13.038295079693018
920,16.46054953665643
1020,22.736089711005583
1120,23.75901812346647
1320,24.86994039258112
1520,31.043160010081326
2120,39.82413577193959
2220,41.92044860245364
2920,44.813379207191275
3620,44.867553543934946
4220,45.731792907798834
5320,46.581188638726786
6420,46.808077324406966
6920,46.86166464158578
7020,48.828787712241926
7320,50.78517415917125
7720,51.30811007711896
10000,51.30811007711896
