eval_count,score
20,4.639549263094594
220,5.445324785400365
420,5.467645168667089
520,6.273834948981343
920,6.4500972289013925
1120,6.726793219663601
1320,13.151520444548074
2220,16.89266845036256
2820,25.43850094726901
2920,27.359409772918042
3020,29.546971545043444
3220,30.907319419890577
3320,31.071639383516256
3420,32.713257838890655
3520,33.295697909242456
3620,33.7603877297786
3720,33.984202370497066
3820,36.8505293751166
4620,36.95377738898469
4720,40.736928324196704
4820,44.855921268009425
5920,45.36884235207531
6120,45.76497973839053
6220,48.371205239115454
6420,63.05764819505011
10000,63.05764819505011
