eval_count,similarity
20,0.11020881670533646
120,0.12207658699563095
220,0.1384436024482658
320,0.13937793427230039
420,0.13517359134889
520,0.13892951155308564
620,0.14424536896446996
720,0.1590224305323066
820,0.16976411722659057
920,0.22062238736646522
1020,0.19324654190398707
1120,0.2037752037752035
1220,0.2041254834550924
1320,0.2220663861617578
1420,0.22352941176470592
1520,0.2341054706752097
1620,0.23538156590683848
1720,0.2799057159693575
1820,0.3173012692050765
1920,0.287182587666264
2020,0.28910529519172207
2120,0.27127355796687547
2220,0.2486910994764393
2320,0.23655378486055753
2420,0.2379759519038074
2520,0.313324538258575
2620,0.3925619834710736
2720,0.4740518962075857
2820,0.4263913824057459
2920,0.4101899827288431
3020,0.41232638888888923
3120,0.4369825206991721
3220,0.44600938967136156
3320,0.47931382441977793
3420,0.8064516129032256
3520,1.0
3620,1.0
3720,1.0
3820,1.0
3920,1.0
4020,1.0
4120,1.0
4220,1.0
4320,1.0
4420,1.0
4520,1.0
4620,0.9295499021526418
4720,1.0
4820,0.9615384615384615
4920,0.9615384615384615
5020,0.8362676056338026
5120,0.7838283828382839
5220,0.8683729433272394
5320,0.8232235701906411
5420,0.8683729433272394
5520,1.0
5620,1.0
5720,0.8421985815602836
5820,0.7799671592775046
5920,0.8620689655172413
6020,1.0
6120,1.0
6220,0.9615384615384615
6320,1.0
6420,0.8392226148409893
6520,0.8362676056338029
6620,0.8652094717668487
6720,0.7398753894081005
6820,0.7468553459119501
6920,0.7969798657718119
7020,0.7969798657718119
7120,0.8147512864493996
7220,0.7563694267515927
7320,0.7089552238805976
7420,0.7078986587183315
7520,0.672804532577904
7620,0.672804532577904
7720,0.6266490765171503
7820,0.7539682539682544
7920,1.0
8020,1.0
8120,1.0
8220,0.8421985815602836
8320,0.8421985815602836
8420,0.682471264367817
8520,0.6533700137551587
8620,0.6709039548022605
8720,0.7100149476831102
8820,0.8175559380378656
8920,0.8683729433272394
9020,0.7218844984802437
9120,0.6233595800524938
9220,0.6058673469387758
9320,0.751582278481013
9420,0.811965811965812
9520,0.6709039548022605
9620,0.6453804347826096
9720,0.7207890743550838
9820,0.9259259259259258
9920,0.8652094717668487
10000,0.6551724137931041
